scan_timestamp,data_timestamp,signal_date,symbol,signal,raw_signal_before_time_filter,entry_window_open,setup_score,setup_max_score,reason,entry_preview,shares_preview,position_value_preview,stop_loss_preview,take_profit_preview,risk_dollars_preview,last_price,rsi_14,volume_ratio,vwap,vwap_distance_atr,market_filter_ok,trade_status,manual_decision,paper_entry_time,paper_entry_price,paper_exit_time,paper_exit_price,paper_exit_reason,paper_pnl,paper_return_pct,notes
2026-05-11 10:35:01.858004-04:00,2026-05-11 10:30:00-04:00,2026-05-11,SPY,True,True,True,12,14,long_vwap_hold_morning_quality_v9,738.7992,0.032485,24.0,731.4112,748.773,0.24,738.43,54.22,1.05,738.3219,0.16,True,legacy_signal_only,legacy_no_auto_entry,,,,,,,,github-actions paper observation
2026-05-11 10:40:02.713256-04:00,2026-05-11 10:35:00-04:00,2026-05-11,SPY,True,True,True,12,14,long_vwap_hold_morning_quality_v9,738.9893,0.032477,24.0,731.5994,748.9657,0.24,738.62,56.47,0.34,738.3432,0.41,True,legacy_signal_only,legacy_no_auto_entry,,,,,,,,github-actions paper observation
2026-05-11 10:50:03.365844-04:00,2026-05-11 10:45:00-04:00,2026-05-11,SPY,True,True,True,12,14,long_vwap_hold_morning_quality_v9,739.4295,0.032457,24.0,732.0352,749.4118,0.24,739.06,61.31,0.34,738.3241,1.2,True,legacy_signal_only,legacy_no_auto_entry,,,,,,,,github-actions paper observation
2026-05-11 10:50:03.365844-04:00,2026-05-11 10:45:00-04:00,2026-05-11,AAPL,True,True,True,12,14,long_vwap_hold_morning_quality_v9,292.9869,0.081915,24.0,290.0571,296.9423,0.24,292.8405,54.64,0.26,291.9984,1.16,True,legacy_signal_only,legacy_no_auto_entry,,,,,,,,github-actions paper observation
2026-05-13 10:35:02.426476-04:00,2026-05-13 10:30:00-04:00,2026-05-13,SPY,True,True,True,12,14,long_vwap_hold_morning_quality_v9,739.0244,0.032475,24.0,731.6341,749.0012,0.24,738.655,66.83,0.55,737.3798,1.51,True,closed,auto_paper_closed,2026-05-13 10:30:00-04:00,739.0244,2026-05-13 15:55:00-04:00,741.9338,ema_trend_failure,0.094484,0.003937,github-actions paper observation
2026-05-14 10:20:01.289974-04:00,2026-05-14 10:15:00-04:00,2026-05-14,SPY,True,True,True,12,14,long_vwap_hold_morning_quality_v9,746.4205,0.032153,24.0,738.9563,756.4972,0.24,746.0475,65.9,0.87,745.071,1.12,True,closed,auto_paper_closed,2026-05-14 10:15:00-04:00,746.4205,2026-05-14 12:55:00-04:00,747.0863,ema_trend_failure,0.021407,0.000892,github-actions paper observation
2026-05-26 10:25:01.690217-04:00,2026-05-26 10:20:00-04:00,2026-05-26,MSFT,True,True,True,13,14,long_vwap_hold_morning_quality_v9,419.6997,0.057184,24.0,415.5027,425.3657,0.24,419.49,59.63,0.94,416.4329,1.97,True,closed,auto_paper_closed,2026-05-26 10:20:00-04:00,419.6997,2026-05-26 10:40:00-04:00,417.2013,ema_trend_failure,-0.142869,-0.005953,github-actions paper observation
2026-06-18 10:48:41.572904-04:00,2026-06-18 10:40:00-04:00,2026-06-18,AAPL,True,True,True,12,14,long_vwap_hold_morning_quality_v9,299.8598,0.080037,24.0,296.8612,303.908,0.24,299.71,65.46,0.21,298.6648,0.93,True,closed,auto_paper_closed,2026-06-18 10:40:00-04:00,299.8598,2026-06-18 11:05:00-04:00,298.2008,lost_vwap_2bar,-0.132779,-0.005532,github-actions paper observation
2026-06-24 10:35:02.618280-04:00,2026-06-24 10:30:00-04:00,2026-06-24,SPY,True,True,True,12,14,long_vwap_hold_morning_quality_v9,737.3285,0.03255,24.0,729.9552,747.2824,0.24,736.96,57.2,0.41,736.0286,0.57,True,closed,auto_paper_closed,2026-06-24 10:30:00-04:00,737.3285,2026-06-24 12:35:00-04:00,736.1618,ema_trend_failure,-0.037977,-0.001582,github-actions paper observation
2026-06-25 10:30:02.395426-04:00,2026-06-25 10:25:00-04:00,2026-06-25,SPY,True,True,True,12,14,long_vwap_hold_morning_quality_v9,735.8427,0.032616,24.0,728.4843,745.7766,0.24,735.475,56.61,0.42,734.3005,0.48,True,closed,auto_paper_closed,2026-06-25 10:25:00-04:00,735.8427,2026-06-25 11:15:00-04:00,733.3031,lost_vwap_2bar,-0.08283,-0.003451,github-actions paper observation
2026-06-26 10:25:01.668654-04:00,2026-06-26 10:20:00-04:00,2026-06-26,SPY,True,True,True,12,14,long_vwap_hold_morning_quality_v9,733.8167,0.032706,24.0,726.4786,743.7233,0.24,733.45,56.87,0.63,730.0971,1.9,True,open,auto_paper_entry,2026-06-26 10:20:00-04:00,733.8167,,,,,,github-actions paper observation
